var = 3 , Percentage: 35.00% , var = 4 , Percentage: 65.00% 
var = 3 , Percentage: 9.30% , var = 5 , Percentage: 90.70% 
var = 3 , Percentage: 36.07% , var = 6 , Percentage: 63.93% 
var = 3 , Percentage: 50.72% , var = 7 , Percentage: 49.28% 
var = 3 , Percentage: 27.27% , var = 8 , Percentage: 72.73% 
var = 3 , Percentage: 39.34% , var = 9 , Percentage: 60.66% 
var = 4 , Percentage: 43.18% , var = 5 , Percentage: 56.82% 
var = 4 , Percentage: 54.05% , var = 6 , Percentage: 45.95% 
var = 4 , Percentage: 72.13% , var = 7 , Percentage: 27.87% 
var = 4 , Percentage: 57.69% , var = 8 , Percentage: 42.31% 
var = 4 , Percentage: 53.33% , var = 9 , Percentage: 46.67% 
var = 5 , Percentage: 71.79% , var = 6 , Percentage: 28.21% 
var = 5 , Percentage: 86.05% , var = 7 , Percentage: 13.95% 
var = 5 , Percentage: 56.25% , var = 8 , Percentage: 43.75% 
var = 5 , Percentage: 84.09% , var = 9 , Percentage: 15.91% 
var = 6 , Percentage: 57.63% , var = 7 , Percentage: 42.37% 
var = 6 , Percentage: 51.85% , var = 8 , Percentage: 48.15% 
var = 6 , Percentage: 51.92% , var = 9 , Percentage: 48.08% 
var = 7 , Percentage: 20.41% , var = 8 , Percentage: 79.59% 
var = 7 , Percentage: 30.91% , var = 9 , Percentage: 69.09% 
var = 8 , Percentage: 57.14% , var = 9 , Percentage: 42.86% 
